CAS,Deprecated CAS
"56-69-9, 4350-09-8","1228817-95-5, 34953-84-9, 1228817-95-5"
434-07-1,78964-17-7
223751-74-4,
606-04-2,
40391-99-9,
79-83-4,3563-85-7
103-90-2,"1430221-00-3, 719293-04-6, 8055-08-1, 719293-04-6, 8055-08-1"
"2152-34-3, 6836-10-8","101053-01-4, 2933-45-1"
39809-25-1,
"771431-20-0, 52-67-5, 52-66-4","5139-02-6, 16414-54-3, 937590-88-0"
61-33-6,
87-08-1,11031-07-5
67-43-6,"13407-13-1, 25737-54-6, 49758-21-6, 573987-64-1, 6889-50-5, 7575-40-8, 782415-12-7, 803683-39-8, 84932-15-0, 13407-13-1, 25737-54-6, 49758-21-6, 573987-64-1, 6889-50-5, 7575-40-8, 803683-39-8, 84932-15-0"
"76-74-4, 5767-32-8",
"319-85-7, 608-73-1, 319-84-6, 58-89-9, 6108-10-7, 6108-11-8, 6108-12-9, 6108-13-0, 27154-44-5, 9001-75-6, 119911-69-2","25897-48-7, 53529-37-6, 55963-79-6, 8007-42-9, 8073-23-2, 39284-22-5, 20437-97-2, 60291-32-9"
"52645-53-1, 52341-32-9, 52341-33-0, 93389-07-2","57608-04-5, 60018-94-2, 63364-00-1, 75497-64-2, 93388-66-0, 60018-94-2, 63364-00-1, 75497-64-2, 93388-66-0"
60-80-0,"123175-91-7, 5779-41-9, 123175-91-7"
51-71-8,
"108-95-2, 27073-41-2, 73607-76-8, 2122-46-5","14534-23-7, 50356-25-7, 8002-07-1, 14534-23-7, 8002-07-1"
"77-09-8, 77-09-8
5768-87-6, 5768-87-6","1541170-18-6, 390417-24-0, 467-29-8, 546094-13-7, 57214-20-7, 390417-24-0, 467-29-8, 546094-13-7, 81-90-3"
706779-91-1,
N/A,
52212-02-9,"67880-85-7, 84307-15-3"
N/A,
691397-13-4,
28210-41-5,1432981-37-7
N/A,
9002-89-5,"106442-33-5, 110736-47-5, 1159795-77-3, 118168-83-5, 1221137-85-4, 1251055-03-4, 1353578-76-3, 1360538-16-4, 1360617-28-2, 1379820-54-8, 1391975-95-3, 1417904-88-1, 1422717-36-9, 147827-36-9, 151439-02-0, 152987-51-4, 153569-70-1, 155421-52-6, 1613402-31-5, 162261-31-6, 1644530-73-3, 1655500-46-1, 172452-03-8, 176742-14-6, 1792997-17-1, 1808111-57-0, 1808111-60-5, 1874156-92-9, 2023788-67-0, 2031151-91-2, 2098429-20-8, 2114272-84-1, 2135434-57-8, 2159090-95-4, 2417408-11-6, 2475286-77-0, 25038-51-1, 2629305-71-9, 353276-42-3, 372077-13-9, 39320-29-1, 416899-99-5, 495413-85-9, 53241-16-0, 551960-18-0, 58740-50-4, 61584-38-1, 73298-53-0, 75923-48-7, 82428-08-8, 860310-93-6, 875587-23-8, 875587-24-9, 9014-14-6, 9050-53-7, 9066-05-1, 98002-48-3, 106442-33-5, 110736-47-5, 1159795-77-3, 118168-83-5, 1221137-85-4, 1251055-03-4, 1360538-16-4, 1360617-28-2, 1379820-54-8, 1391975-95-3, 147827-36-9, 151439-02-0, 152987-51-4, 153569-70-1, 162261-31-6, 172452-03-8, 176742-14-6, 25038-51-1, 353276-42-3, 372077-13-9, 39320-29-1, 416899-99-5, 53241-16-0, 551960-18-0, 58740-50-4, 61584-38-1, 73298-53-0, 75923-48-7, 82428-08-8, 860310-93-6, 875587-23-8, 9014-14-6, 9050-53-7, 9066-05-1, 98002-48-3"
"6735-59-7, 45765-69-3, 25615-00-3",
53-03-2,68-59-7
57-83-0,"2051138-40-8, 257630-50-5, 753497-20-0, 8012-32-6, 8023-13-0"
"60-87-7, 38878-40-9",73745-50-3
"57-55-6, 2736-80-3, 63625-56-9","1194046-20-2, 190913-75-8, 4254-16-4, 63625-56-9, 1194046-20-2, 190913-75-8, 63625-56-9"
90-82-4,"304-87-0, 30987-59-8, 37577-31-4, 30987-59-8, 37577-31-4"
